,ID,eth
644,HG03844,STU
645,HG03750,STU
646,HG04141,BEB
647,HG03755,STU
648,HG04146,BEB
649,HG03762,PJL
650,HG04153,BEB
651,HG03767,PJL
652,HG04158,BEB
653,HG03849,STU
654,HG03851,STU
655,HG03856,STU
656,HG04209,ITU
657,HG03863,ITU
658,HG04211,ITU
659,HG03868,ITU
660,HG04216,ITU
661,HG03870,ITU
662,HG04177,BEB
663,HG03673,STU
664,HG03680,STU
665,HG04189,BEB
666,HG03685,STU
668,HG03692,STU
669,HG03965,ITU
670,HG03642,STU
672,HG03977,ITU
673,HG03989,STU
674,HG03991,STU
676,HG04038,STU
677,HG03729,ITU
678,HG04076,ITU
679,HG03731,ITU
680,HG04002,ITU
681,HG03736,STU
682,HG04014,ITU
683,HG03743,STU
684,HG04019,ITU
685,HG04094,ITU
686,HG04026,ITU
687,HG04099,STU
688,HG04033,STU
689,HG04107,STU
690,NA12878,CEU
694,NA18489,YRI
695,HG04056,ITU
696,NA18504,YRI
697,HG04063,ITU
698,HG04070,ITU
699,NA18511,YRI
700,HG04075,STU
701,NA18516,YRI
702,HG03875,ITU
703,NA18523,YRI
704,HG03882,ITU
705,NA18528,CHB
706,HG03887,STU
707,NA18530,CHB
708,HG03894,STU
709,NA18535,CHB
710,HG03899,STU
711,NA18542,CHB
712,HG03969,ITU
713,NA18547,CHB
714,HG03971,ITU
715,NA18559,CHB
716,HG03976,ITU
717,NA18561,CHB
719,NA18566,CHB
720,HG03990,STU
721,NA18573,CHB
722,HG03995,STU
723,NA18592,CHB
724,HG03902,BEB
725,NA18597,CHB
726,HG03907,BEB
727,NA18605,CHB
728,HG03914,BEB
729,NA18612,CHB
730,HG03919,BEB
731,NA18617,CHB
732,HG03926,BEB
733,NA18624,CHB
734,HG04164,BEB
735,NA18629,CHB
736,HG04171,BEB
737,NA18631,CHB
738,HG04176,BEB
739,NA18636,CHB
740,HG04183,BEB
741,NA18643,CHB
742,HG04188,BEB
743,NA18648,CHB
744,HG04001,ITU
745,NA18908,YRI
746,HG04006,STU
747,NA18910,YRI
748,HG04018,ITU
749,NA18915,YRI
750,HG04020,ITU
751,NA18934,YRI
752,HG04025,ITU
753,NA18939,JPT
754,HG04140,BEB
755,NA18941,JPT
756,HG04152,BEB
757,NA18946,JPT
758,NA18953,JPT
759,HG03940,BEB
760,NA18960,JPT
761,HG03945,STU
762,NA18965,JPT
763,NA18534,CHB
764,NA18539,CHB
765,NA18541,CHB
766,NA18546,CHB
767,NA11832,CEU
768,NA18553,CHB
769,NA18558,CHB
770,NA11894,CEU
771,NA18560,CHB
772,NA11919,CEU
773,NA18565,CHB
774,NA11933,CEU
775,NA18572,CHB
776,NA11995,CEU
777,NA18577,CHB
778,NA12006,CEU
779,NA18591,CHB
780,NA12044,CEU
