ID,eth
HG03166,ESN
HG03720,ITU
HG03725,ITU
HG03539,GWD
HG03744,STU
HG03558,MSL
HG03821,BEB
HG03565,MSL
HG03826,BEB
HG03572,MSL
HG03833,BEB
HG03577,MSL
HG03838,STU
HG03589,BEB
HG03845,STU
HG03934,BEB
HG03604,BEB
HG03488,PJL
HG03941,BEB
HG03490,PJL
HG03953,STU
HG03508,ESN
HG03960,ITU
HG03515,ESN
HG03908,BEB
HG03433,MSL
HG03910,BEB
HG03445,MSL
HG03922,BEB
HG03452,MSL
HG03457,MSL
HG03799,BEB
HG03802,BEB
HG03351,ESN
HG03363,ESN
HG03814,BEB
HG03775,ITU
HG03370,ESN
HG03782,ITU
HG03382,MSL
HG03787,ITU
HG03394,MSL
HG03794,BEB
HG03756,STU
HG03419,MSL
HG03770,ITU
HG03464,MSL
HG03469,MSL
HG03888,STU
HG03890,STU
HG03476,MSL
HG03895,STU
HG03298,ESN
HG03857,STU
HG03301,ESN
HG03864,ITU
HG03306,ESN
HG03869,ITU
HG03313,ESN
HG03871,ITU
HG03611,BEB
HG03616,BEB
HG04235,ITU
NA06984,CEU
HG03697,STU
NA06989,CEU
HG03700,PJL
HG03705,PJL
HG03717,ITU
HG03774,ITU
HG04090,ITU
HG03779,ITU
HG03781,ITU
HG03786,ITU
HG04127,STU
HG03793,BEB
HG04134,BEB
HG03832,BEB
HG03837,STU
HG03844,STU
HG03750,STU
HG04141,BEB
HG03755,STU
HG04146,BEB
HG03762,PJL
HG04153,BEB
HG03767,PJL
HG04158,BEB
HG03849,STU
HG03851,STU
HG03856,STU
HG04209,ITU
HG03863,ITU
HG04211,ITU
HG03868,ITU
HG04216,ITU
HG03870,ITU
HG04177,BEB
HG03673,STU
HG03680,STU
HG04189,BEB
HG03685,STU
HG04191,BEB
HG03692,STU
HG03965,ITU
HG03642,STU
HG03972,ITU
HG03977,ITU
HG03989,STU
HG03991,STU
HG03806,BEB
HG04038,STU
HG03729,ITU
HG04076,ITU
HG03731,ITU
HG04002,ITU
HG03736,STU
HG04014,ITU
HG03743,STU
HG04019,ITU
HG04094,ITU
HG04026,ITU
HG04099,STU
HG04033,STU
HG04107,STU
NA12878,CEU
HG04114,STU
NA12892,CEU
HG04037,STU
NA18489,YRI
HG04056,ITU
NA18504,YRI
HG04063,ITU
HG04070,ITU
NA18511,YRI
HG04075,STU
NA18516,YRI
HG03875,ITU
NA18523,YRI
HG03882,ITU
NA18528,CHB
HG03887,STU
NA18530,CHB
HG03894,STU
NA18535,CHB
HG03899,STU
NA18542,CHB
HG03969,ITU
NA18547,CHB
HG03971,ITU
NA18559,CHB
HG03976,ITU
NA18561,CHB
HG03988,STU
NA18566,CHB
HG03990,STU
NA18573,CHB
HG03995,STU
NA18592,CHB
HG03902,BEB
NA18597,CHB
HG03907,BEB
NA18605,CHB
HG03914,BEB
NA18612,CHB
HG03919,BEB
NA18617,CHB
HG03926,BEB
NA18624,CHB
HG04164,BEB
NA18629,CHB
HG04171,BEB
NA18631,CHB
HG04176,BEB
NA18636,CHB
HG04183,BEB
NA18643,CHB
HG04188,BEB
NA18648,CHB
HG04001,ITU
NA18908,YRI
HG04006,STU
NA18910,YRI
HG04018,ITU
NA18915,YRI
HG04020,ITU
NA18934,YRI
HG04025,ITU
NA18939,JPT
HG04140,BEB
NA18941,JPT
HG04152,BEB
NA18946,JPT
NA18953,JPT
HG03940,BEB
NA18960,JPT
HG03945,STU
NA18965,JPT
NA18534,CHB
NA18539,CHB
NA18541,CHB
NA18546,CHB
NA11832,CEU
NA18553,CHB
NA18558,CHB
NA11894,CEU
NA18560,CHB
NA11919,CEU
NA18565,CHB
NA11933,CEU
NA18572,CHB
NA11995,CEU
NA18577,CHB
NA12006,CEU
NA18591,CHB
NA12044,CEU
NA18596,CHB
NA18609,CHB
NA18611,CHB
NA12234,CEU
NA18616,CHB
NA18623,CHB
NA12272,CEU
NA18628,CHB
NA18630,CHB
NA12342,CEU
NA18635,CHB
NA12347,CEU
NA18642,CHB
NA12400,CEU
NA18647,CHB
NA12760,CEU
NA11829,CEU
NA12777,CEU
NA11831,CEU
NA12828,CEU
NA11843,CEU
NA12830,CEU
NA11881,CEU
NA12842,CEU
NA11893,CEU
NA12873,CEU
NA11918,CEU
NA19026,LWK
NA11920,CEU
NA19038,LWK
NA11932,CEU
NA19057,JPT
NA11994,CEU
NA19064,JPT
NA12005,CEU
NA19076,JPT
NA19083,JPT
NA12889,CEU
NA19088,JPT
NA12891,CEU
NA19090,JPT
NA18488,YRI
NA19095,YRI
NA18749,CHB
NA18508,YRI
NA18794,CHB
NA18510,YRI
NA18522,YRI
NA18864,YRI
NA18527,CHB
NA18871,YRI
NA18876,YRI
NA18972,JPT
NA12776,CEU
NA18977,JPT
NA12815,CEU
NA18984,JPT
NA12827,CEU
NA18989,JPT
NA18991,JPT
NA12872,CEU
NA19002,JPT
NA12043,CEU
NA19007,JPT
NA12144,CEU
NA19019,LWK
NA12156,CEU
NA19153,YRI
NA19160,YRI
NA12283,CEU
NA19172,YRI
NA12341,CEU
NA19184,YRI
NA07037,CEU
NA19189,YRI
NA07051,CEU
NA07056,CEU
NA07347,CEU
NA19204,YRI
NA19209,YRI
NA19350,LWK
NA18748,CHB
NA19355,LWK
NA18856,YRI
NA19374,LWK
NA19379,LWK
NA18868,YRI
NA19381,LWK
NA18870,YRI
NA19393,LWK
NA19398,LWK
HG04222,ITU
NA19401,LWK
HG04227,STU
HG04239,ITU
NA19437,LWK
NA19444,LWK
HG04195,BEB
NA19449,LWK
NA19451,LWK
HG04210,STU
NA19456,LWK
NA19463,LWK
NA19037,LWK
NA19468,LWK
NA19044,LWK
NA19470,LWK
NA19056,JPT
NA19475,LWK
NA19063,JPT
NA19068,JPT
NA19658,MXL
NA19070,JPT
NA19660,MXL
NA19075,JPT
NA19082,JPT
NA19087,JPT
NA19684,MXL
NA19099,YRI
NA19704,ASW
NA19222,YRI
NA19711,ASW
NA19239,YRI
NA19716,MXL
NA19723,MXL
NA19309,LWK
NA19728,MXL
NA19311,LWK
NA19316,LWK
NA19735,MXL
NA19323,LWK
NA19785,MXL
NA19328,LWK
NA19792,MXL
NA19347,LWK
NA19797,MXL
NA19359,LWK
NA19373,LWK
NA19901,ASW
NA19378,LWK
NA19913,ASW
NA19380,LWK
NA19385,LWK
NA19920,ASW
NA19397,LWK
NA19982,ASW
NA19429,LWK
NA19223,YRI
NA19431,LWK
NA19235,YRI
NA19436,LWK
NA19247,YRI
NA19443,LWK
NA19448,LWK
NA19312,LWK
NA18907,YRI
NA19317,LWK
NA19324,LWK
NA18933,YRI
NA19331,LWK
NA18940,JPT
NA18945,JPT
NA19108,YRI
NA18952,JPT
NA18957,JPT
NA18964,JPT
NA18969,JPT
NA18971,JPT
NA19141,YRI
NA18976,JPT
NA19146,YRI
NA18983,JPT
NA18988,JPT
NA19747,MXL
NA18990,JPT
NA18995,JPT
NA19759,MXL
NA19001,JPT
NA19761,MXL
NA19006,JPT
NA19020,LWK
NA19773,MXL
NA19025,LWK
NA19152,YRI
NA19780,MXL
NA19171,YRI
NA20282,ASW
