,lin_error
660,0.009708703
661,0.13592231
662,0.61165047
663,0.0
664,0.0
665,0.0
666,0.0
667,0.14563107
668,0.12621361
669,0.13592231
670,0.25242716
671,0.0
672,0.009708703
673,0.0
674,0.009708703
675,0.32038832
676,0.0
677,0.0
678,0.019417465
679,0.0
680,0.0
681,0.0
682,0.0
683,0.058252394
684,0.0
685,0.009708703
686,0.21359223
687,0.33009708
688,0.0
689,0.03883493
690,0.009708703
691,0.07766992
692,0.0
693,0.029126227
694,0.49514562
695,0.0
696,0.0
697,0.0
698,0.029126227
699,0.019417465
700,5.9604645e-08
701,5.9604645e-08
702,0.032786965
703,5.9604645e-08
704,5.9604645e-08
705,0.47540987
706,0.22950822
707,0.09836072
708,5.9604645e-08
709,5.9604645e-08
710,0.13114756
711,5.9604645e-08
712,0.26229513
713,0.016393483
714,0.016393483
715,0.3770492
716,0.081967235
717,0.081967235
718,5.9604645e-08
719,0.18032789
720,5.9604645e-08
721,0.42622954
722,5.9604645e-08
723,0.36065578
724,0.016393483
725,0.14754105
726,5.9604645e-08
727,5.9604645e-08
728,0.032786965
729,5.9604645e-08
730,5.9604645e-08
731,5.9604645e-08
732,5.9604645e-08
733,0.13114756
734,0.06557381
735,0.13114756
736,0.09836072
737,5.9604645e-08
738,0.18032789
739,5.9604645e-08
740,0.5081967
741,0.09836072
742,5.9604645e-08
743,5.9604645e-08
744,0.016393483
745,5.9604645e-08
746,5.9604645e-08
747,0.04918039
748,5.9604645e-08
749,0.2459017
750,5.9604645e-08
751,5.9604645e-08
752,5.9604645e-08
753,5.9604645e-08
754,0.016393483
755,5.9604645e-08
756,0.016393483
757,5.9604645e-08
758,0.2459017
759,5.9604645e-08
760,5.9604645e-08
761,0.06557381
762,0.016393483
763,0.36065578
764,0.04918039
765,0.2459017
766,5.9604645e-08
767,5.9604645e-08
768,0.016393483
769,5.9604645e-08
770,0.032786965
771,0.016393483
772,5.9604645e-08
773,0.5409836
774,0.032786965
775,0.18032789
776,5.9604645e-08
777,0.032786965
778,5.9604645e-08
779,0.26229513
780,0.032786965
781,0.29508203
782,0.3770492
783,5.9604645e-08
784,0.6885246
785,0.04918039
786,0.22950822
787,0.14754105
788,5.9604645e-08
789,5.9604645e-08
790,0.4098361
791,5.9604645e-08
792,0.19672137
793,0.13114756
794,5.9604645e-08
795,5.9604645e-08
796,0.2131148
797,5.9604645e-08
798,5.9604645e-08
799,5.9604645e-08
